sex,age,geo,time,dati
T,Y15-64,Austria,2007,15
T,Y15-64,Belgium,2007,11.7
T,Y15-64,Bulgaria,2007,4.9
T,Y15-64,Switzerland,2007,
T,Y15-64,Cyprus,2007,8.4
T,Y15-64,Czechia,2007,8.5
T,Y15-64,Germany,2007,6.1
T,Y15-64,Denmark,2007,12.8
T,Y15-64,Estonia,2007,9.1
T,Y15-64,Greece,2007,6.5
T,Y15-64,Spain,2007,5.8
T,Y15-64,Finland,2007,24.5
T,Y15-64,France,2007,48.9
T,Y15-64,Croatia,2007,7.4
T,Y15-64,Hungary,2007,5.4
T,Y15-64,Ireland,2007,3.1
T,Y15-64,Iceland,2007,9
T,Y15-64,Italy,2007,6.9
T,Y15-64,Lituania,2007,4.1
T,Y15-64,Luxembourg,2007,3.8
T,Y15-64,Latvia,2007,4.2
T,Y15-64,Malta,2007,4.1
T,Y15-64,Netherlands,2007,11.1
T,Y15-64,Norway,2007,11.7
T,Y15-64,Poland,2007,22.2
T,Y15-64,Portugal,2007,
T,Y15-64,Romania,2007,5.2
T,Y15-64,Sweden,2007,14.3
T,Y15-64,Slovenia,2007,10.2
T,Y15-64,Slovakia,2007,6
T,Y15-64,Austria,2013,15.3
T,Y15-64,Belgium,2013,8.3
T,Y15-64,Bulgaria,2013,5
T,Y15-64,Switzerland,2013,12
T,Y15-64,Cyprus,2013,5.9
T,Y15-64,Czechia,2013,5.5
T,Y15-64,Germany,2013,
T,Y15-64,Denmark,2013,6.5
T,Y15-64,Estonia,2013,7.1
T,Y15-64,Greece,2013,6.5
T,Y15-64,Spain,2013,4.8
T,Y15-64,Finland,2013,26
T,Y15-64,France,2013,12.4
T,Y15-64,Croatia,2013,7.4
T,Y15-64,Hungary,2013,5.3
T,Y15-64,Ireland,2013,2.1
T,Y15-64,Iceland,2013,
T,Y15-64,Italy,2013,5.1
T,Y15-64,Lituania,2013,2.7
T,Y15-64,Luxembourg,2013,8.2
T,Y15-64,Latvia,2013,7.3
T,Y15-64,Malta,2013,2.5
T,Y15-64,Netherlands,2013,
T,Y15-64,Norway,2013,12.2
T,Y15-64,Poland,2013,14
T,Y15-64,Portugal,2013,6.3
T,Y15-64,Romania,2013,1.7
T,Y15-64,Sweden,2013,21.2
T,Y15-64,Slovenia,2013,6.2
T,Y15-64,Slovakia,2013,9.6
T,Y15-64,Austria,2020,15.3
T,Y15-64,Belgium,2020,8.3
T,Y15-64,Bulgaria,2020,5
T,Y15-64,Switzerland,2020,12
T,Y15-64,Cyprus,2020,5.9
T,Y15-64,Czechia,2020,5.5
T,Y15-64,Germany,2020,
T,Y15-64,Denmark,2020,6.5
T,Y15-64,Estonia,2020,7.1
T,Y15-64,Greece,2020,6.5
T,Y15-64,Spain,2020,4.8
T,Y15-64,Finland,2020,26
T,Y15-64,France,2020,12.4
T,Y15-64,Croatia,2020,7.4
T,Y15-64,Hungary,2020,5.3
T,Y15-64,Ireland,2020,2.1
T,Y15-64,Iceland,2020,
T,Y15-64,Italy,2020,5.1
T,Y15-64,Lituania,2020,2.7
T,Y15-64,Luxembourg,2020,8.2
T,Y15-64,Latvia,2020,7.3
T,Y15-64,Malta,2020,2.5
T,Y15-64,Netherlands,2020,
T,Y15-64,Norway,2020,12.2
T,Y15-64,Poland,2020,14
T,Y15-64,Portugal,2020,6.3
T,Y15-64,Romania,2020,1.7
T,Y15-64,Sweden,2020,21.2
T,Y15-64,Slovenia,2020,6.2
T,Y15-64,Slovakia,2020,9.6
