sex,age,geo,dati
F,Y15-74,Austria,13.1
F,Y15-74,Belgium,9.6
F,Y15-74,Bulgaria,4.4
F,Y15-74,Switzerland,12.7
F,Y15-74,Cyprus,3.2
F,Y15-74,Czechia,5.1
F,Y15-74,Germany,9.7
F,Y15-74,Denmark,10.4
F,Y15-74,Estonia,6.9
F,Y15-74,Greece,3.5
F,Y15-74,Spain,6.7
F,Y15-74,Finland,28.7
F,Y15-74,France,8.4
F,Y15-74,Croatia,5.7
F,Y15-74,Hungary,2.9
F,Y15-74,Ireland,3
F,Y15-74,Iceland,11
F,Y15-74,Italy,5.2
F,Y15-74,Lituania,1.7
F,Y15-74,Luxembourg,11.5
F,Y15-74,Latvia,7.1
F,Y15-74,Malta,1.8
F,Y15-74,Netherlands,7.3
F,Y15-74,Norway,13.8
F,Y15-74,Poland,37.8
F,Y15-74,Portugal,7.9
F,Y15-74,Romania,3.5
F,Y15-74,Sweden,23.1
F,Y15-74,Slovenia,6
F,Y15-74,Slovakia,7.4
