sex,age,geo,dati
M,Y15-74,Austria,13.8
M,Y15-74,Belgium,8.4
M,Y15-74,Bulgaria,4.5
M,Y15-74,Switzerland,10.9
M,Y15-74,Cyprus,4.6
M,Y15-74,Czechia,5.8
M,Y15-74,Germany,9.6
M,Y15-74,Denmark,7.2
M,Y15-74,Estonia,6.8
M,Y15-74,Greece,3.3
M,Y15-74,Spain,5.9
M,Y15-74,Finland,21.5
M,Y15-74,France,6.8
M,Y15-74,Croatia,7.5
M,Y15-74,Hungary,3.1
M,Y15-74,Ireland,2.8
M,Y15-74,Iceland,8
M,Y15-74,Italy,5.4
M,Y15-74,Lituania,1.9
M,Y15-74,Luxembourg,9.9
M,Y15-74,Latvia,5.4
M,Y15-74,Malta,2.8
M,Y15-74,Netherlands,6.6
M,Y15-74,Norway,9.7
M,Y15-74,Poland,38.3
M,Y15-74,Portugal,5.9
M,Y15-74,Romania,3.3
M,Y15-74,Sweden,15.1
M,Y15-74,Slovenia,4.5
M,Y15-74,Slovakia,7.6
