sex,age,geo,dati
T,Y15-74,Austria,13.4
T,Y15-74,Belgium,9
T,Y15-74,Bulgaria,4.5
T,Y15-74,Switzerland,11.8
T,Y15-74,Cyprus,3.9
T,Y15-74,Czechia,5.5
T,Y15-74,Germany,9.6
T,Y15-74,Denmark,8.7
T,Y15-74,Estonia,6.8
T,Y15-74,Greece,3.4
T,Y15-74,Spain,6.3
T,Y15-74,Finland,25.1
T,Y15-74,France,7.6
T,Y15-74,Croatia,6.6
T,Y15-74,Hungary,3
T,Y15-74,Ireland,2.9
T,Y15-74,Iceland,9.5
T,Y15-74,Italy,5.3
T,Y15-74,Lituania,1.8
T,Y15-74,Luxembourg,10.7
T,Y15-74,Latvia,6.3
T,Y15-74,Malta,2.4
T,Y15-74,Netherlands,7
T,Y15-74,Norway,11.7
T,Y15-74,Poland,38.1
T,Y15-74,Portugal,6.9
T,Y15-74,Romania,3.4
T,Y15-74,Sweden,19
T,Y15-74,Slovenia,6
T,Y15-74,Slovakia,7.4
